序号,时间,温度CH1,温度CH2,温度CH3,温度CH4,温度CH5,温度CH6,温度CH7
222,2025/01/15 14:24:26.213,201.90,200.39,200.44,197.38,197.83,196.12,198.61
223,2025/01/15 14:24:27.996,201.63,200.15,200.21,197.11,197.56,195.88,198.34
224,2025/01/15 14:24:29.748,201.34,199.87,199.93,196.84,197.31,195.63,198.05
225,2025/01/15 14:24:31.517,201.09,199.65,199.64,196.63,197.08,195.37,197.82
226,2025/01/15 14:24:33.284,200.81,199.38,199.39,196.35,196.83,195.16,197.58
227,2025/01/15 14:24:35.051,200.52,199.11,199.12,196.11,196.60,194.86,197.35
228,2025/01/15 14:24:36.820,200.25,198.84,198.90,195.91,196.36,194.66,197.11
229,2025/01/15 14:24:38.574,199.96,198.62,198.62,195.67,196.11,194.40,196.86
230,2025/01/15 14:24:40.343,199.73,198.35,198.37,195.41,195.84,194.16,196.63
231,2025/01/15 14:24:42.112,199.50,198.07,198.12,195.16,195.58,193.96,196.35
232,2025/01/15 14:24:43.879,199.17,197.85,197.85,194.92,195.36,193.67,196.10
233,2025/01/15 14:24:45.646,198.95,197.59,197.64,194.69,195.10,193.50,195.90
234,2025/01/15 14:24:47.414,198.72,197.34,197.38,194.42,194.89,193.24,195.63
235,2025/01/15 14:24:49.182,198.49,197.05,197.07,194.21,194.66,192.98,195.38
236,2025/01/15 14:24:50.937,198.22,196.83,196.82,193.96,194.42,192.78,195.16
237,2025/01/15 14:24:52.704,197.95,196.59,196.61,193.72,194.19,192.54,194.94
238,2025/01/15 14:24:54.472,197.74,196.32,196.37,193.50,193.91,192.31,194.64
239,2025/01/15 14:24:56.242,197.44,196.10,196.12,193.28,193.67,192.08,194.41
240,2025/01/15 14:24:58.009,197.17,195.86,195.89,193.02,193.42,191.83,194.16
241,2025/01/15 14:24:59.775,196.94,195.59,195.65,192.81,193.21,191.59,193.96
242,2025/01/15 14:25:01.544,196.68,195.35,195.39,192.55,192.95,191.40,193.69
243,2025/01/15 14:25:03.312,196.44,195.13,195.15,192.34,192.73,191.14,193.45
244,2025/01/15 14:25:05.066,196.19,194.88,194.90,192.10,192.49,190.93,193.22
245,2025/01/15 14:25:06.834,195.95,194.62,194.65,191.90,192.30,190.72,193.00
246,2025/01/15 14:25:08.602,195.72,194.37,194.38,191.63,192.04,190.47,192.78
247,2025/01/15 14:25:10.369,195.50,194.14,194.13,191.41,191.80,190.27,192.53
248,2025/01/15 14:25:12.137,195.21,193.88,193.94,191.15,191.59,190.02,192.33
249,2025/01/15 14:25:13.907,194.98,193.65,193.68,190.92,191.35,189.83,192.07
250,2025/01/15 14:25:15.675,194.75,193.40,193.47,190.71,191.10,189.58,191.84
251,2025/01/15 14:25:17.428,194.44,193.18,193.21,190.50,190.90,189.31,191.65
252,2025/01/15 14:25:19.196,194.24,192.93,192.99,190.26,190.65,189.06,191.39
253,2025/01/15 14:25:20.966,193.98,192.70,192.77,190.04,190.47,188.88,191.16
254,2025/01/15 14:25:22.733,193.74,192.46,192.51,189.79,190.19,188.67,190.93
255,2025/01/15 14:25:24.500,193.54,192.24,192.29,189.57,189.98,188.46,190.67
256,2025/01/15 14:25:26.256,193.23,192.00,192.03,189.33,189.75,188.25,190.50
257,2025/01/15 14:25:28.023,193.01,191.74,191.81,189.09,189.49,188.01,190.26
258,2025/01/15 14:25:29.793,192.79,191.51,191.56,188.89,189.28,187.80,190.05
259,2025/01/15 14:25:31.562,192.58,191.31,191.34,188.67,189.07,187.57,189.86
260,2025/01/15 14:25:33.330,192.34,191.08,191.13,188.44,188.83,187.37,189.59
261,2025/01/15 14:25:35.100,192.13,190.82,190.87,188.22,188.68,187.16,189.37
262,2025/01/15 14:25:36.852,191.88,190.60,190.65,188.03,188.40,186.93,189.16
263,2025/01/15 14:25:38.621,191.61,190.36,190.45,187.81,188.20,186.70,188.95
264,2025/01/15 14:25:40.392,191.39,190.14,190.20,187.58,187.95,186.49,188.70
265,2025/01/15 14:25:42.161,191.16,189.91,189.96,187.38,187.75,186.28,188.48
266,2025/01/15 14:25:43.929,190.95,189.69,189.74,187.16,187.55,186.08,188.27
267,2025/01/15 14:25:45.681,190.71,189.43,189.51,186.93,187.31,185.83,188.03
268,2025/01/15 14:25:47.450,190.47,189.21,189.26,186.71,187.11,185.64,187.84
269,2025/01/15 14:25:49.217,190.20,188.97,189.07,186.49,186.91,185.44,187.62
270,2025/01/15 14:25:50.988,189.98,188.78,188.82,186.28,186.68,185.24,187.42
271,2025/01/15 14:25:52.755,189.81,188.52,188.62,186.05,186.46,185.02,187.21
272,2025/01/15 14:25:54.525,189.55,188.31,188.41,185.88,186.27,184.78,186.99
273,2025/01/15 14:25:56.293,189.30,188.08,188.17,185.65,186.06,184.58,186.73
274,2025/01/15 14:25:58.046,189.08,187.84,187.94,185.42,185.79,184.37,186.49
275,2025/01/15 14:25:59.816,188.88,187.61,187.72,185.22,185.64,184.20,186.32
276,2025/01/15 14:26:01.584,188.63,187.44,187.49,185.01,185.38,183.96,186.12
277,2025/01/15 14:26:03.354,188.40,187.21,187.27,184.78,185.17,183.74,185.90
278,2025/01/15 14:26:05.120,188.16,186.96,187.04,184.56,184.98,183.57,185.67
279,2025/01/15 14:26:06.889,187.93,186.77,186.82,184.36,184.76,183.31,185.46
280,2025/01/15 14:26:08.642,187.74,186.54,186.57,184.15,184.56,183.10,185.27
281,2025/01/15 14:26:10.410,187.54,186.35,186.40,183.93,184.35,182.91,185.06
282,2025/01/15 14:26:12.177,187.29,186.14,186.18,183.72,184.16,182.74,184.84
283,2025/01/15 14:26:13.946,187.04,185.88,185.96,183.55,183.95,182.53,184.63
284,2025/01/15 14:26:15.715,186.82,185.69,185.72,183.31,183.75,182.36,184.43
285,2025/01/15 14:26:17.471,186.62,185.44,185.51,183.11,183.55,182.15,184.20
286,2025/01/15 14:26:19.241,186.41,185.25,185.30,182.92,183.35,181.93,183.99
287,2025/01/15 14:26:21.011,186.17,185.02,185.10,182.73,183.14,181.72,183.78
288,2025/01/15 14:26:22.779,185.97,184.82,184.88,182.50,182.92,181.51,183.58
289,2025/01/15 14:26:24.535,185.74,184.61,184.65,182.32,182.71,181.33,183.38
290,2025/01/15 14:26:26.304,185.50,184.41,184.47,182.11,182.48,181.12,183.17
291,2025/01/15 14:26:28.072,185.26,184.17,184.26,181.89,182.31,180.92,182.97
292,2025/01/15 14:26:29.841,185.08,183.96,184.05,181.71,182.09,180.72,182.76
293,2025/01/15 14:26:31.609,184.86,183.73,183.86,181.52,181.93,180.53,182.58
294,2025/01/15 14:26:33.376,184.64,183.54,183.67,181.33,181.71,180.32,182.37
295,2025/01/15 14:26:35.130,184.44,183.33,183.41,181.11,181.52,180.14,182.18
296,2025/01/15 14:26:36.902,184.24,183.08,183.20,180.92,181.32,179.95,181.94
297,2025/01/15 14:26:38.670,184.05,182.89,183.02,180.72,181.10,179.75,181.75
298,2025/01/15 14:26:40.438,183.82,182.72,182.80,180.53,180.90,179.57,181.54
299,2025/01/15 14:26:42.208,183.62,182.48,182.64,180.32,180.69,179.36,181.31
300,2025/01/15 14:26:43.960,183.40,182.29,182.40,180.08,180.51,179.19,181.14
301,2025/01/15 14:26:45.728,183.21,182.07,182.21,179.94,180.32,178.99,180.98
302,2025/01/15 14:26:47.496,182.97,181.88,182.01,179.71,180.11,178.81,180.78
303,2025/01/15 14:26:49.263,182.77,181.67,181.80,179.51,179.93,178.63,180.55
304,2025/01/15 14:26:51.032,182.59,181.45,181.57,179.32,179.75,178.44,180.37
305,2025/01/15 14:26:52.800,182.36,181.29,181.35,179.14,179.55,178.22,180.16
306,2025/01/15 14:26:54.569,182.14,181.07,181.18,178.94,179.37,178.01,179.97
307,2025/01/15 14:26:56.323,181.94,180.87,180.95,178.75,179.16,177.87,179.76
